"","samplingYear","CharacteristicName","AnnualMedian","AnnualMean","AnnualCount","AnnualSD","Annuallower_ci","Annualupper_ci","site","Park"
"449","2015","Salinity",0.08,0.08,14,0.01,0.08,0.09,"BGHC","CATO"
"450","2015","Specific conductance",177.55,174.99,14,17.43,164.93,185.06,"BGHC","CATO"
"451","2015","Temperature, water",13.65,12.22,14,7.71,7.77,16.67,"BGHC","CATO"
"452","2016","Salinity",0.08,0.08,17,NA,NA,NA,"BGHC","CATO"
"453","2016","Specific conductance",161.1,159.07,17,NA,NA,NA,"BGHC","CATO"
"454","2016","Temperature, water",16.1,12.6,17,NA,NA,NA,"BGHC","CATO"
"455","2017","Salinity",0.07,0.07,13,NA,NA,NA,"BGHC","CATO"
"456","2017","Specific conductance",148.1,152.56,13,NA,NA,NA,"BGHC","CATO"
"457","2017","Temperature, water",13.2,13.49,13,NA,NA,NA,"BGHC","CATO"
"458","2018","Salinity",0.06,0.07,24,0.01,0.06,0.07,"BGHC","CATO"
"459","2018","Specific conductance",131.8,140.21,24,26.42,129.06,151.37,"BGHC","CATO"
"460","2018","Temperature, water",11.35,10.75,24,7.13,7.74,13.77,"BGHC","CATO"
"461","2019","Salinity",0.07,0.07,20,0.01,0.06,0.07,"BGHC","CATO"
"462","2019","Specific conductance",139.25,141.82,20,10.82,136.75,146.88,"BGHC","CATO"
"463","2019","Temperature, water",12.45,12.18,20,6.28,9.24,15.11,"BGHC","CATO"
"464","2020","Salinity",0.06,0.07,11,NA,NA,NA,"BGHC","CATO"
"465","2020","Specific conductance",145.55,147.72,11,NA,NA,NA,"BGHC","CATO"
"466","2020","Temperature, water",4.25,5.08,11,NA,NA,NA,"BGHC","CATO"
"467","2021","Salinity",0.07,0.07,19,0.01,0.07,0.08,"BGHC","CATO"
"468","2021","Specific conductance",155.3,155.37,19,10.73,150.2,160.55,"BGHC","CATO"
"469","2021","Temperature, water",11.7,11.28,19,6.61,8.09,14.46,"BGHC","CATO"
"470","2022","Salinity",0.08,0.08,14,0.01,0.07,0.08,"BGHC","CATO"
"471","2022","Specific conductance",165.9,161.04,14,19.57,149.73,172.34,"BGHC","CATO"
"472","2022","Temperature, water",4.05,9.21,14,7.82,4.7,13.73,"BGHC","CATO"
"473","2023","Salinity",0.07,0.07,8,0,0.07,0.08,"BGHC","CATO"
"474","2023","Specific conductance",147.55,149.88,8,7.14,143.9,155.85,"BGHC","CATO"
"475","2023","Temperature, water",12.15,11.36,8,5.52,6.75,15.98,"BGHC","CATO"
"476","2004","Specific conductance",36.3,36.3,1,NA,NA,NA,"MBCH","PRWI"
"477","2005","Salinity",0.03,0.02,6,0.01,0.01,0.03,"MBCH","PRWI"
"478","2005","Specific conductance",44.2,37.76,7,11.9,26.75,48.77,"MBCH","PRWI"
"479","2005","Temperature, water",13.2,12.51,7,9,4.19,20.84,"MBCH","PRWI"
"480","2006","Salinity",0.01,0.01,22,0.01,0.01,0.02,"MBCH","PRWI"
"481","2006","Specific conductance",37.65,45.06,22,27.37,32.92,57.2,"MBCH","PRWI"
"482","2006","Temperature, water",10.8,11.13,22,6.39,8.29,13.96,"MBCH","PRWI"
"483","2007","Salinity",0,0.01,28,0.01,0,0.01,"MBCH","PRWI"
"484","2007","Specific conductance",41.42,42.58,28,8.56,39.26,45.9,"MBCH","PRWI"
"485","2007","Temperature, water",16,13.5,28,5.63,11.31,15.68,"MBCH","PRWI"
"486","2008","Salinity",0,0.01,23,0.01,0,0.02,"MBCH","PRWI"
"487","2008","Specific conductance",42,46.26,23,20.99,37.19,55.34,"MBCH","PRWI"
"488","2008","Temperature, water",17.3,15.83,23,6.07,13.21,18.45,"MBCH","PRWI"
"489","2009","Salinity",0.01,0.01,3,NA,NA,NA,"MBCH","PRWI"
"490","2009","Specific conductance",36.9,36.9,3,NA,NA,NA,"MBCH","PRWI"
"491","2009","Temperature, water",7.15,7.15,3,NA,NA,NA,"MBCH","PRWI"
"492","2011","Specific conductance",33.4,33.4,1,NA,NA,NA,"MBCH","PRWI"
"493","2005","Salinity",0.05,0.05,8,0.06,0,0.1,"NFQC","PRWI"
"494","2005","Specific conductance",94.2,120.51,8,103.88,33.66,207.36,"NFQC","PRWI"
"495","2005","Temperature, water",12.35,13.34,8,11.31,3.88,22.79,"NFQC","PRWI"
"496","2006","Salinity",0.04,0.03,24,0.04,0.02,0.05,"NFQC","PRWI"
"497","2006","Specific conductance",79.8,92.74,24,33.3,78.68,106.8,"NFQC","PRWI"
"498","2006","Temperature, water",12.66,13.1,24,7.43,9.96,16.24,"NFQC","PRWI"
"499","2007","Salinity",0.04,0.07,29,0.08,0.03,0.1,"NFQC","PRWI"
"500","2007","Specific conductance",102.05,187.27,29,179.36,119.05,255.5,"NFQC","PRWI"
"501","2007","Temperature, water",17,15.73,29,5.69,13.56,17.89,"NFQC","PRWI"
"502","2008","Salinity",0,0.02,23,0.03,0.01,0.04,"NFQC","PRWI"
"503","2008","Specific conductance",90.6,95.18,23,13.11,89.51,100.85,"NFQC","PRWI"
"504","2008","Temperature, water",18.4,16.48,23,7.94,13.05,19.92,"NFQC","PRWI"
"505","2009","Salinity",0.05,0.05,16,0.03,0.04,0.06,"NFQC","PRWI"
"506","2009","Specific conductance",102.9,115.72,13,50.64,85.12,146.33,"NFQC","PRWI"
"507","2009","Temperature, water",11.1,14.67,15,8.94,9.72,19.63,"NFQC","PRWI"
"508","2010","Salinity",0.05,0.06,19,0.04,0.04,0.08,"NFQC","PRWI"
"509","2010","Specific conductance",103.6,120.53,19,90.72,76.8,164.25,"NFQC","PRWI"
"510","2010","Temperature, water",13.4,13.85,19,8.55,9.73,17.97,"NFQC","PRWI"
"511","2011","Salinity",0.05,0.06,17,0.04,0.04,0.08,"NFQC","PRWI"
"512","2011","Specific conductance",102.65,123.77,18,74.5,86.72,160.82,"NFQC","PRWI"
"513","2011","Temperature, water",16.3,16.96,17,5.43,14.17,19.75,"NFQC","PRWI"
"514","2012","Salinity",0.04,0.06,21,0.06,0.04,0.09,"NFQC","PRWI"
"515","2012","Specific conductance",95.6,136.75,21,125.26,79.73,193.77,"NFQC","PRWI"
"516","2012","Temperature, water",13.9,14.77,21,7.16,11.51,18.03,"NFQC","PRWI"
"517","2013","Salinity",0.04,0.05,23,0.01,0.04,0.05,"NFQC","PRWI"
"518","2013","Specific conductance",93.9,100.91,23,22.57,91.15,110.67,"NFQC","PRWI"
"519","2013","Temperature, water",14.8,15.64,23,7.8,12.27,19.02,"NFQC","PRWI"
"520","2014","Salinity",0.04,0.04,15,0.01,0.04,0.05,"NFQC","PRWI"
"521","2014","Specific conductance",85.1,87.97,15,11.31,81.7,94.23,"NFQC","PRWI"
"522","2014","Temperature, water",17.5,15.23,15,7.99,10.81,19.66,"NFQC","PRWI"
"523","2015","Salinity",0.04,0.04,10,0.01,0.03,0.04,"NFQC","PRWI"
"524","2015","Specific conductance",80,81.67,10,10.77,73.97,89.37,"NFQC","PRWI"
